removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Mac OS X,1298,5247,4.0423728813559325,4.0423728813559325,18,5.127356705620478,600
Apple Inc.,1297,5000,3.8550501156515034,3.8550501156515034,18,4.939936092420193,571
Macintosh,1296,4775,3.684413580246914,3.684413580246914,18,5.091426320344084,557
List of Mac OS versions,1295,4595,3.548262548262548,3.548262548262548,18,5.096600557391924,556
Mac OS history,1294,4427,3.421174652241113,3.421174652241113,18,5.0829197039867635,538
System 7,1293,4309,3.3325599381283837,3.3325599381283837,18,5.216800208777102,533
Mac OS,1292,4207,3.2561919504643964,3.2561919504643964,18,5.320718225973056,523
Finder,1291,4122,3.192873741285825,3.192873741285825,18,5.378658431849921,518
Mac OS X 10.4,1290,4041,3.1325581395348836,3.1325581395348836,18,5.470654208498987,509
OS X,1289,3965,3.0760279286268424,3.0760279286268424,18,5.569827791510294,494
Mac OS 7.6,1288,3890,3.020186335403727,3.020186335403727,18,5.6140299520597345,486
Mac OS X 10.3,1287,3817,2.965811965811966,2.965811965811966,18,5.733076722338205,480
Mac OS 9,1286,3749,2.9152410575427683,2.9152410575427683,17,5.834003022335584,479
Classic Mac OS,1285,3684,2.8669260700389105,2.8669260700389105,17,5.869606678901723,472
System Folder,1284,3625,2.823208722741433,2.823208722741433,17,5.962049354154617,456
System Preferences,1283,3568,2.7809820732657835,2.7809820732657835,17,6.077275466533202,443
PowerBook,1282,3513,2.7402496099843994,2.7402496099843994,17,6.210972266160498,436
Steve Jobs,1281,3460,2.701014832162373,2.701014832162373,17,6.0502092523470195,421
System 7.5,1280,3407,2.66171875,2.66171875,17,6.122211694798283,414
2005,1279,3357,2.6247068021892104,2.6247068021892104,17,6.122211694798283,414
Mac OS X 10.2,1278,3309,2.5892018779342725,2.5892018779342725,17,6.235588558855886,405
Mac OS 8,1277,3263,2.5552075176194204,2.5552075176194204,16,6.3140835411471326,401
Apple menu,1276,3223,2.5258620689655173,2.5258620689655173,16,6.4407933236648605,397
Apple typography,1275,3184,2.497254901960784,2.497254901960784,16,6.4407933236648605,397
Mac OS X Lion,1274,3145,2.4686028257456827,2.4686028257456827,16,6.434234234234234,370
Apple,1273,3107,2.4406912804399057,2.4406912804399057,16,6.434234234234234,370
Macintosh OS,1272,3069,2.4127358490566038,2.4127358490566038,16,6.434234234234234,370
Mac OS 8.5,1271,3032,2.3855232100708106,2.3855232100708106,16,6.523674453924152,367
Mac,1270,2996,2.3590551181102364,2.3590551181102364,16,6.524404175077852,358
Mac OS 9.1,1269,2961,2.3333333333333335,2.3333333333333335,16,6.907439782439782,352
Mac OS X 10.0,1268,2926,2.307570977917981,2.307570977917981,16,7.018492902545861,349
Mac OS X history,1267,2892,2.2825572217837413,2.2825572217837413,16,7.018492902545861,349
FireWire,1266,2860,2.259083728278041,2.259083728278041,16,7.018492902545861,349
Safari,1265,2829,2.2363636363636363,2.2363636363636363,16,6.989365671641791,336
PowerPC,1264,2800,2.2151898734177213,2.2151898734177213,16,6.989365671641791,336
Utilities folder,1263,2771,2.1939825811559777,2.1939825811559777,16,7.089410618048389,324
Unix,1262,2743,2.1735340729001584,2.1735340729001584,16,7.460639683940655,309
2004,1261,2715,2.1530531324345756,2.1530531324345756,16,7.460639683940655,309
Mac OS 9.2.2,1260,2688,2.1333333333333333,2.1333333333333333,16,7.4996487194226225,307
System 6,1259,2661,2.113582208101668,2.113582208101668,16,7.582073996873372,304
