removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Sherlock Holmes,1539,12705,8.255360623781677,8.255360623781677,1,3.6093822696366917,1213
United Kingdom,1538,12324,8.01300390117035,8.01300390117035,1,3.7223199931964204,1208
Elementary,1537,11989,7.800260247234873,7.800260247234873,1,3.851739972514658,1199
Sherlock (2010),1536,11666,7.595052083333333,7.595052083333333,1,3.8909817002916647,1187
London,1535,11420,7.4397394136807815,7.4397394136807815,1,4.016107445263869,1180
Sherlock Holmes (Miller),1534,11207,7.30573663624511,7.30573663624511,1,4.04013388334057,1176
Sherlock Holmes (Granada),1533,11011,7.1826484018264845,7.1826484018264845,1,4.099197966766466,1173
England,1532,10818,7.061357702349869,7.061357702349869,1,4.141508812121354,1169
John Watson,1531,10628,6.941868060091443,6.941868060091443,1,4.179299733587696,1148
William Sherlock Scott Holmes,1530,10442,6.824836601307189,6.824836601307189,1,4.212517177145998,1145
Joan Watson,1529,10271,6.717462393721386,6.717462393721386,1,4.221531196516373,1143
Thomas Gregson,1528,10127,6.62761780104712,6.62761780104712,1,4.2318561988817525,1140
John Watson (Freeman),1527,9988,6.540929927963327,6.540929927963327,1,4.252496066991218,1137
Marcus Bell,1526,9852,6.456094364351245,6.456094364351245,1,4.257834119252963,1136
Sherlock (2010) Cast,1525,9717,6.371803278688525,6.371803278688525,1,4.257834119252963,1136
CBS,1524,9584,6.288713910761155,6.288713910761155,1,4.2774104117146186,1134
The Great Game,1523,9454,6.207485226526592,6.207485226526592,1,4.330969015196368,1126
Jonny Lee Miller,1522,9325,6.1268068331143235,6.1268068331143235,1,4.343062870699882,1125
Lucy Liu,1521,9202,6.049967126890204,6.049967126890204,1,4.344925577459969,1124
Sherlock Holmes: A Game of Shadows,1520,9080,5.973684210526316,5.973684210526316,1,4.364597139034026,1121
Aidan Quinn,1519,8959,5.8979591836734695,5.8979591836734695,1,4.365394006127921,1120
Jon Michael Hill,1518,8840,5.823451910408433,5.823451910408433,1,4.378403762623477,1119
Sir Arthur Conan Doyle,1517,8723,5.750164798945287,5.750164798945287,1,4.382748000890451,1118
List of Sherlock Holmes Short Stories and Novels,1516,8612,5.680738786279683,5.680738786279683,1,4.425638891442896,1114
Elementary: Season One,1515,8502,5.6118811881188115,5.6118811881188115,1,4.460334365023274,1110
The Hound of the Baskervilles,1514,8398,5.546895640686922,5.546895640686922,1,4.566548554166273,1109
BBC,1513,8296,5.48314606741573,5.48314606741573,1,4.58575963918484,1108
Sherlock Holmes (1965 TV series),1512,8202,5.424603174603175,5.424603174603175,1,4.630191550817016,1106
A Study in Pink,1511,8108,5.3659827928524155,5.3659827928524155,1,4.651723644309448,1103
His Last Vow,1510,8015,5.30794701986755,5.30794701986755,1,4.666178343949045,1100
Elementary: Season Two,1509,7922,5.249834327369118,5.249834327369118,1,4.716761056167969,1099
The Sign of Three,1508,7832,5.1936339522546415,5.1936339522546415,1,4.74216440025711,1095
A Study in Scarlet,1507,7744,5.138686131386861,5.138686131386861,1,4.798221478485355,1091
A Scandal in Belgravia,1506,7662,5.087649402390438,5.087649402390438,1,4.833903023318246,1082
List of Sherlock Holmes Adaptations: Books and Short Stories,1505,7581,5.037209302325581,5.037209302325581,1,4.833903023318246,1082
The Hounds of Baskerville,1504,7501,4.9873670212765955,4.9873670212765955,1,4.89371809367184,1081
The Blind Banker,1503,7422,4.93812375249501,4.93812375249501,1,4.973990639011712,1077
The Empty Hearse,1502,7343,4.888814913448735,4.888814913448735,1,4.99453102136377,1072
The Abominable Bride,1501,7264,4.83944037308461,4.83944037308461,1,5.029817931982136,1066
Jeremy Brett,1500,7186,4.790666666666667,4.790666666666667,1,5.036150234741784,1065
Elementary: Season Three,1499,7111,4.743829219479653,4.743829219479653,1,5.056390977443609,1064
Sherlock Holmes (2009 film),1498,7037,4.6975967957276366,4.6975967957276366,1,5.085625773146189,1059
The Reichenbach Fall,1497,6965,4.652638610554442,4.652638610554442,1,5.145185084500023,1051
United States,1496,6893,4.607620320855615,4.607620320855615,1,5.196015200207979,1042
France,1495,6822,4.563210702341137,4.563210702341137,1,5.2187550899533575,1040
Canon of Sherlock Holmes,1494,6752,4.519410977242303,4.519410977242303,1,5.279325166559209,1035
Sherlock Holmes (Brett),1493,6684,4.476892163429337,4.476892163429337,1,5.290694321435192,1034
221B Baker Street,1492,6617,4.434986595174263,4.434986595174263,1,5.316816220651685,1029
Jim Moriarty,1491,6550,4.393024815560027,4.393024815560027,1,5.418497271582482,1022
Elementary: Season Four,1490,6483,4.351006711409396,4.351006711409396,1,5.427914770217588,1021
Germany,1489,6419,4.310946944257891,4.310946944257891,1,5.458114103159806,1019
James Moriarty (Harris),1488,6358,4.272849462365591,4.272849462365591,1,5.4719183332171974,1017
James Moriarty,1487,6298,4.23537323470074,4.23537323470074,1,5.527269753558766,1014
John Watson (Granada),1486,6239,4.198519515477793,4.198519515477793,1,5.533395892917761,1013
Timeline of Sherlock Holmes,1485,6180,4.161616161616162,4.161616161616162,1,5.533395892917761,1013
Inspector Lestrade,1484,6122,4.12533692722372,4.12533692722372,1,5.585149494177904,1011
Arthur Conan Doyle,1483,6066,4.090357383681726,4.090357383681726,1,5.646117614734714,1010
"List of detectives, constables, and agents in Sherlock Holmes",1482,6011,4.056005398110662,4.056005398110662,1,5.6865048514880865,1006
The Sign of the Four,1481,5958,4.022957461174882,4.022957461174882,1,5.748825237435105,1004
Mycroft Holmes (Gatiss),1480,5906,3.9905405405405405,3.9905405405405405,1,5.806131868131868,1001
Mrs Hudson (Williams),1479,5854,3.958079783637593,3.958079783637593,1,5.829604153251448,999
Sherlock Holmes (Downey),1478,5803,3.9262516914749663,3.9262516914749663,1,5.852954655549816,998
Elementary: Season Five,1477,5754,3.895734597156398,3.895734597156398,1,5.864997603251521,997
Unaired Pilot,1476,5707,3.866531165311653,3.866531165311653,1,5.912120732222331,993
A Scandal in Bohemia,1475,5660,3.8372881355932202,3.8372881355932202,1,5.9547573920411985,989
Robert Doherty,1474,5614,3.8086838534599727,3.8086838534599727,1,5.990069281222697,988
The Valley of Fear,1473,5568,3.780040733197556,3.780040733197556,1,6.001050376729607,984
The Six Thatchers,1472,5525,3.7533967391304346,3.7533967391304346,1,6.010549600672552,976
Edward Hardwicke,1471,5482,3.726716519374575,3.726716519374575,1,6.024793658766153,974
The Strand Magazine,1470,5441,3.701360544217687,3.701360544217687,1,6.032402649309124,973
Irene Adler,1469,5400,3.6759700476514636,3.6759700476514636,1,6.086552284285517,971
Val Andrews,1468,5360,3.6512261580381473,3.6512261580381473,1,6.086552284285517,971
List of Sherlock Holmes Stories,1467,5321,3.627130197682345,3.627130197682345,1,6.086552284285517,971
The Lying Detective,1466,5283,3.6036834924965895,3.6036834924965895,1,6.103541394809337,969
Russian Empire,1465,5245,3.580204778156997,3.580204778156997,1,6.122945239418656,964
Greg Lestrade,1464,5208,3.557377049180328,3.557377049180328,1,6.2007003408872565,963
Jamie Moriarty,1463,5171,3.5345181134654817,3.5345181134654817,1,6.219151052676357,958
The Adventure of the Musgrave Ritual,1462,5135,3.512311901504788,3.512311901504788,1,6.3046088664976345,955
The Return of Sherlock Holmes,1461,5099,3.490075290896646,3.490075290896646,1,6.362577043972393,946
Mycroft Holmes,1460,5064,3.4684931506849317,3.4684931506849317,1,6.400091216276938,944
Basil Rathbone,1459,5031,3.4482522275531187,3.4482522275531187,1,6.256582486442477,909
Morland Holmes,1458,4998,3.42798353909465,3.42798353909465,1,6.268403400290269,906
Switzerland,1457,4965,3.4076870281400136,3.4076870281400136,1,6.295930914780228,905
Laurie R. King,1456,4933,3.3880494505494507,3.3880494505494507,1,6.295930914780228,905
John Watson (Law),1455,4901,3.368384879725086,3.368384879725086,1,6.310353149286057,904
Jason Tracey,1454,4869,3.3486932599724897,3.3486932599724897,1,6.325636643560637,903
John Coles,1453,4837,3.3289745354439093,3.3289745354439093,1,6.344594943780131,902
Bob Goodman,1452,4806,3.309917355371901,3.309917355371901,1,6.387925761499568,901
The Adventure of the Second Stain,1451,4776,3.291523087525844,3.291523087525844,0,6.412878506983068,900
Young Sherlock Holmes,1450,4745,3.2724137931034485,3.2724137931034485,0,6.448273384681321,899
Mary Russell,1449,4714,3.2532781228433403,3.2532781228433403,0,6.448273384681321,899
Bohemia,1448,4684,3.234806629834254,3.234806629834254,0,6.47202480490524,897
The Adventure of the Final Problem,1447,4654,3.216309606081548,3.216309606081548,0,6.525526817754023,892
Scotland Yard,1446,4624,3.1977869986168743,3.1977869986168743,0,6.5526092946246886,890
India,1445,4594,3.1792387543252594,3.1792387543252594,0,6.6081040156155755,887
Molly Hooper,1444,4565,3.1613573407202216,3.1613573407202216,0,6.625455319368486,881
The Adventure of the Empty House,1443,4536,3.1434511434511436,3.1434511434511436,0,6.653431426146629,877
River Thames,1442,4508,3.1262135922330097,3.1262135922330097,0,6.809151989562949,876
The Adventure of the Speckled Band,1441,4480,3.1089521165857046,3.1089521165857046,0,6.832511937356983,870
The Casebook of Sherlock Holmes,1440,4453,3.092361111111111,3.092361111111111,0,6.911554039305723,862
Rosalie Williams,1439,4426,3.075747046560111,3.075747046560111,0,6.911554039305723,862
His Last Bow (story),1438,4399,3.0591098748261474,3.0591098748261474,0,6.988780694906666,855
Paris,1437,4372,3.0424495476687543,3.0424495476687543,0,6.989677196377964,851
The House of Silk,1436,4345,3.0257660167130918,3.0257660167130918,0,6.972280731555404,841
The Memoirs of Sherlock Holmes,1435,4319,3.0097560975609756,3.0097560975609756,0,7.048036522301228,833
New Scotland Yard,1434,4293,2.993723849372385,2.993723849372385,0,7.2131606002722135,828
Sherlock Holmes (1939 film series),1433,4267,2.977669225401256,2.977669225401256,0,7.244270817860432,821
Murder Rooms,1432,4241,2.9615921787709496,2.9615921787709496,0,7.244270817860432,821
Dartmoor,1431,4215,2.9454926624737947,2.9454926624737947,0,7.280973087178627,818
Peter Cushing,1430,4189,2.9293706293706294,2.9293706293706294,0,7.288557191542468,817
The Adventure of the Bruce-Partington Plans,1429,4163,2.9132260321903427,2.9132260321903427,0,7.412429719178186,815
Guy Ferland,1428,4138,2.8977591036414565,2.8977591036414565,0,7.465799915984418,814
Craig Sweeny,1427,4114,2.882971268395235,2.882971268395235,0,7.505828114655021,812
Sherlock Holmes Adaptations,1426,4090,2.868162692847125,2.868162692847125,0,7.505828114655021,812
John Noble,1425,4066,2.8533333333333335,2.8533333333333335,0,7.505828114655021,812
Martha Louise Hudson,1424,4042,2.8384831460674156,2.8384831460674156,0,7.5164920823719035,803
Austria-Hungary,1423,4018,2.8236120871398454,2.8236120871398454,0,7.581987602778322,802
The Adventures of Sherlock Holmes,1422,3994,2.8087201125175807,2.8087201125175807,0,7.686234377250396,791
Step Nine,1421,3971,2.7945109078114005,2.7945109078114005,0,7.743585053985978,790
Benedict Cumberbatch,1420,3948,2.780281690140845,2.780281690140845,0,7.74218668197862,770
Sherlock Holmes: Crimes & Punishments,1419,3926,2.766737138830162,2.766737138830162,0,7.859988221717654,767
Sherlock Holmes in the 22nd Century,1418,3904,2.753173483779972,2.753173483779972,0,7.921678130239879,765
Barrie Roberts,1417,3882,2.739590684544813,2.739590684544813,0,7.921678130239879,765
Dead Man's Switch,1416,3860,2.725988700564972,2.725988700564972,0,7.9920933048506555,763
Mary Elizabeth Watson,1415,3838,2.7123674911660776,2.7123674911660776,0,8.068709048430446,755
Kitty Winter (Lovibond),1414,3816,2.6987270155586986,2.6987270155586986,0,8.191899070385126,753
Grimpen,1413,3794,2.6850672328379335,2.6850672328379335,0,8.208276347436813,743
The Adventure of the Cardboard Box,1412,3773,2.6720963172804533,2.6720963172804533,0,8.27153043731991,741
Shinwell Johnson (Ellis),1411,3752,2.659107016300496,2.659107016300496,0,8.314976410781552,740
Douglas Wilmer,1410,3731,2.6460992907801417,2.6460992907801417,0,8.386061512847876,739
The Adventure of the Naval Treaty,1409,3710,2.6330731014904187,2.6330731014904187,0,8.371843862584603,729
The Problem of Thor Bridge,1408,3689,2.620028409090909,2.620028409090909,0,8.46103826249323,722
Sussex,1407,3669,2.6076759061833688,2.6076759061833688,0,8.676717852956951,710
Irene Adler (McAdams),1406,3649,2.5953058321479374,2.5953058321479374,0,8.73998553432584,706
Young Sherlock Holmes (novels),1405,3629,2.582918149466192,2.582918149466192,0,8.56456834532374,696
The Boy Sherlock Holmes,1404,3609,2.5705128205128207,2.5705128205128207,0,8.56456834532374,696
Jeffrey Paul King,1403,3589,2.558089807555239,2.558089807555239,0,8.627315323533681,695
ITV,1402,3569,2.5456490727532097,2.5456490727532097,0,8.627315323533681,695
Mary Watson,1401,3549,2.5331905781584583,2.5331905781584583,0,8.693083970955819,687
Sherlock Hound,1400,3529,2.520714285714286,2.520714285714286,0,8.693083970955819,687
Sebastian Moran (Jones),1399,3509,2.5082201572551823,2.5082201572551823,0,8.744431638707475,685
Mycroft Holmes (Ifans),1398,3489,2.495708154506438,2.495708154506438,0,8.811364979065527,684
Charles Augustus Magnussen,1397,3469,2.4831782390837507,2.4831782390837507,0,8.90174856102099,678
New York City,1396,3450,2.4713467048710602,2.4713467048710602,0,8.909901380670611,676
Reichenbach Falls,1395,3431,2.4594982078853045,2.4594982078853045,0,8.99362038255328,669
The Diabolical Kind,1394,3412,2.447632711621234,2.447632711621234,0,9.063157044232375,668
Italy,1393,3393,2.4357501794687724,2.4357501794687724,0,9.132668355793147,657
A Study in Scarlet/Story Text,1392,3374,2.4238505747126435,2.4238505747126435,0,9.132668355793147,657
John Polson,1391,3355,2.4119338605319913,2.4119338605319913,0,9.190762893315956,656
Sherlock Holmes (2013 TV series),1390,3336,2.4,2.4,0,9.190762893315956,656
David Burke,1389,3317,2.388048956083513,2.388048956083513,0,9.190762893315956,656
Sherlock (2010): Episodes,1388,3299,2.376801152737752,2.376801152737752,0,9.190762893315956,656
List of Sherlock Holmes Adaptations: Films,1387,3281,2.3655371304974766,2.3655371304974766,0,9.190762893315956,656
Mr Holmes,1386,3263,2.354256854256854,2.354256854256854,0,8.970503420329395,632
